N,P,K,temperature,humidity,ph,rainfall,label
92,35,40,22.17932,80.33127,6.357389,200.0883,Paddy
81,45,35,26.52873,80.12267,6.158377,218.9164,Paddy
60,49,44,20.77576,84.49774,6.244841,240.0811,Paddy
72,40,38,20.41447,82.20803,7.592491,245.1511,Paddy
91,35,39,23.79392,80.41818,6.97086,206.2612,Paddy
75,54,36,26.29465,84.56919,7.023936,257.4915,Paddy
66,60,38,22.08577,83.47038,6.372576,231.7365,Paddy
85,52,45,26.31355,82.36699,7.224286,265.5356,Paddy
97,59,43,26.35927,84.04404,6.2865,271.3586,Paddy
95,39,36,23.8633,83.15251,5.561399,285.2494,Paddy
88,54,44,25.73543,83.88266,6.149411,233.1321,Paddy
65,37,40,23.35905,83.59512,5.333323,188.4137,Paddy
86,59,35,25.78721,82.11124,6.946636,243.512,Paddy
68,57,43,26.08868,80.3798,5.706943,182.9044,Paddy
69,46,41,23.64125,80.28598,5.01214,263.1103,Paddy
94,53,40,20.27774,82.89409,5.718627,241.9742,Paddy
99,57,35,26.75754,81.17734,5.96037,272.2999,Paddy
85,37,39,24.52784,82.73686,6.364135,224.6757,Paddy
78,58,44,26.8008,80.88685,5.108682,284.4365,Paddy
99,54,37,21.14347,80.33503,5.59482,198.6731,Paddy
74,39,38,23.24114,84.59202,7.782051,233.0453,Paddy
81,41,38,22.67846,83.72874,7.52408,200.9133,Paddy
72,45,35,25.42978,82.94683,5.758506,195.3575,Paddy
98,47,37,23.48381,81.33265,7.375483,224.0581,Paddy
93,58,38,20.61521,83.77346,6.9324,279.5452,Paddy
73,35,38,24.88921,81.97927,5.005307,185.9461,Paddy
88,55,45,24.63545,80.41363,7.730368,253.7203,Paddy
78,40,38,26.46428,83.85643,7.549874,248.2256,Paddy
40,8,72,24.79853,91.58077,6.793245,101.4936,Wheat
115,23,207,26.14577,94.31388,6.542777,63.7447,Wheat
45,9,81,23.75092,91.07356,6.662876,89.4168,Wheat
115,23,207,25.56748,91.20106,6.630165,115.6872,Wheat
125,25,225,24.12833,96.18844,6.742749,17.3114,Wheat
70,14,126,26.98582,96.62048,6.751453,24.2262,Wheat
85,17,153,25.46744,96.62048,6.665025,37.939,Wheat
70,14,126,26.20811,92.1717,6.678696,35.1564,Wheat
105,21,189,23.16815,93.27566,6.630165,104.6217,Wheat
110,22,198,23.61475,91.91185,6.560743,105.7733,Wheat
110,22,198,24.76345,90.98618,6.742749,97.122,Wheat
70,14,126,23.25583,90.92669,6.850663,94.9801,Wheat
110,22,198,24.48556,96.66355,6.651491,100.6327,Wheat
55,11,99,23.78756,96.18844,6.501521,71.8945,Wheat
40,8,72,24.40727,92.73041,6.691202,68.9813,Wheat
70,14,126,25.01158,95.78923,6.919342,96.47,Wheat
110,22,198,25.17788,91.07356,6.762522,48.3771,Wheat
150,30,270,24.97043,96.18844,6.506121,74.5072,Wheat
125,25,225,23.17403,93.40549,6.702425,104.4633,Wheat
80,16,144,26.50839,95.11295,6.678449,105.2595,Wheat
75,15,135,27.35153,91.7943,6.805277,24.4135,Wheat
45,9,81,24.06476,91.53721,6.833769,103.8991,Wheat
75,15,135,23.09434,94.31388,6.991626,89.8391,Wheat
45,9,81,26.91515,94.18956,6.800321,103.639,Wheat
45,9,81,25.59535,96.76865,6.712772,99.0945,Wheat
145,29,261,24.25133,96.08951,6.761953,102.2582,Wheat
40,8,72,26.5233,91.53721,6.805277,102.2316,Wheat
110,22,198,26.24532,90.01735,6.502289,106.1366,Wheat
115,23,207,25.17788,93.27566,6.502675,64.4972,Wheat
40,8,72,26.13872,92.86057,6.678696,108.6373,Wheat
50,10,90,24.21745,95.64808,6.9777,91.2784,Wheat
60,12,108,23.24926,96.08951,6.576261,94.1755,Wheat
105,21,189,27.22784,96.62048,6.991041,42.8393,Wheat
80,16,144,26.28306,96.46169,6.54403,90.1238,Wheat
60,12,108,24.89326,93.6998,6.757471,101.9035,Wheat
65,13,117,25.8488,91.30925,6.585346,87.7231,Wheat
105,21,189,25.67324,93.64761,6.734006,53.112,Wheat
80,16,144,24.44744,91.7943,6.833769,84.6576,Wheat
85,17,153,24.36972,95.48763,6.721131,95.573,Wheat
50,10,90,23.20684,91.15088,6.576261,95.8646,Wheat
145,29,261,24.40727,92.73041,6.524459,76.1544,Wheat
115,23,207,25.70823,95.64808,6.850663,111.3981,Wheat
120,24,216,23.44372,91.81321,6.506121,137.644,Wheat
110,22,198,23.07895,91.91185,6.834808,20.6494,Wheat
125,25,225,25.49675,92.1717,6.840802,109.9711,Wheat
145,29,261,23.18867,91.15088,6.953439,109.9211,Wheat
130,26,234,24.97179,92.73041,6.931721,55.3852,Wheat
75,15,135,23.98652,96.30484,6.747976,86.6415,Wheat
150,30,270,23.87484,92.1717,6.938313,100.2258,Wheat
135,27,243,25.49387,93.64761,6.511625,68.0432,Wheat
80,16,144,25.71901,94.01014,6.574678,97.2102,Wheat
105,21,189,23.8158,96.64573,6.762522,104.8391,Wheat
140,28,252,24.80625,91.64509,6.712772,93.2418,Wheat
135,27,243,25.23466,92.1717,6.931721,60.6305,Wheat
65,13,117,24.6509,91.15088,6.839444,117.9021,Wheat
55,11,99,26.33378,92.86057,6.993473,112.428,Wheat
60,12,108,27.04242,96.76865,6.542777,72.6847,Wheat
30,6,54,26.91644,95.64808,6.839444,87.0576,Wheat
75,15,135,26.63952,93.6998,6.577192,112.4931,Wheat
65,13,117,23.28081,96.65249,6.687088,79.1631,Wheat
45,9,81,26.4755,90.98618,6.524459,85.012,Wheat
120,24,216,25.63215,95.01631,6.641099,109.5718,Wheat
65,13,117,25.49942,91.81321,6.793245,75.726,Wheat
60,12,108,25.40786,96.00396,6.51978,86.2161,Wheat
105,21,189,25.12418,91.07356,6.560743,84.497,Wheat
115,23,207,26.82489,91.91185,6.608668,101.2916,Wheat
50,10,90,23.32501,90.92669,6.734006,126.5268,Wheat
75,15,135,23.92888,96.76865,6.991626,116.2736,Wheat
125,25,225,27.22784,94.31388,6.577192,53.4778,Wheat
120,24,216,24.22488,91.20106,6.991041,76.1516,Wheat
90,18,162,24.81441,91.15088,6.9777,98.6977,Wheat
115,23,207,23.11439,92.86057,6.678449,81.6368,Wheat
105,21,189,26.38905,96.34855,6.927804,106.2338,Wheat
80,16,144,23.89069,92.86057,6.938313,101.9649,Wheat
105,21,189,24.09874,96.76865,6.834808,97.2233,Wheat
115,23,207,25.86705,91.95615,6.502675,104.3488,Wheat
110,22,198,23.095,95.23798,6.992234,102.2847,Wheat
155,31,279,23.05952,96.62048,6.840802,46.1752,Wheat
65,13,117,23.41237,96.08951,6.608668,69.6324,Wheat
75,15,135,26.12797,91.81321,6.989927,68.7849,Wheat
10,50,49,18.29784,90.93898,6.159021,53.34232,Potato
23,115,114,20.38872,90.79007,6.360955,59.92107,Potato
16,80,79,20.97195,92.12439,6.419083,62.27399,Potato
15,75,74,21.28711,90.70476,6.460955,61.90227,Potato
12,60,59,22.12193,91.07574,6.399891,54.19665,Potato
23,115,114,18.75928,93.56586,6.396379,52.37128,Potato
22,110,109,20.48186,93.90191,6.067665,55.80006,Potato
27,135,134,21.57937,92.48668,6.159021,62.0303,Potato
9,45,44,20.9108,90.8466,6.419083,59.70611,Potato
16,80,79,20.70626,94.22253,6.006053,59.70611,Potato
10,50,49,18.43966,91.39357,6.18677,54.19665,Potato
8,40,39,20.41435,92.92368,6.360955,62.68896,Potato
13,65,64,20.99628,91.48136,6.159021,59.30927,Potato
14,70,69,20.89736,90.02575,6.396379,62.0303,Potato
22,110,109,21.91041,90.97598,6.067665,59.86713,Potato
23,115,114,18.06486,90.71833,6.419083,54.08102,Potato
25,125,124,20.82112,93.32045,6.396379,54.82145,Potato
23,115,114,20.93382,94.71203,6.419083,59.81856,Potato
25,125,124,19.67832,92.70785,6.375923,61.90227,Potato
6,30,29,19.72621,91.51862,6.159021,53.67985,Potato
17,85,84,20.87855,90.49939,6.18677,54.82145,Potato
15,75,74,21.746,90.14363,6.159021,58.8503,Potato
16,80,79,23.94414,93.51978,6.006053,54.62835,Potato
9,45,44,21.14911,91.64193,6.159021,52.37128,Potato
21,105,104,23.19305,90.01506,6.400338,54.82145,Potato
25,125,124,20.52135,94.81637,6.360955,54.10225,Potato
25,125,124,20.98287,93.22981,6.404907,59.71518,Potato
27,135,134,20.39038,93.42402,6.067665,52.05912,Potato
30,150,149,18.54142,92.43764,6.159021,57.15095,Potato
21,105,104,20.94982,91.34685,6.067665,56.4849,Potato
14,70,69,22.38042,93.45068,6.399891,61.60103,Potato
6,30,29,18.13028,92.4884,6.396379,59.86713,Potato
16,80,79,21.26533,92.12535,6.159021,59.3963,Potato
24,120,119,21.23483,93.90741,6.375923,53.6953,Potato
30,150,149,20.05941,91.81759,6.159021,55.80006,Potato
27,135,134,20.03027,91.47356,6.400338,56.57463,Potato
29,145,144,20.39078,91.89217,6.006053,53.67985,Potato
12,60,59,19.86712,93.58066,6.419083,54.19665,Potato
26,130,129,20.0485,94.03711,6.465313,59.2778,Potato
13,65,64,21.33565,90.7707,6.18677,52.37128,Potato
11,55,54,20.84918,90.31529,6.419083,54.08102,Potato
24,120,119,20.52186,90.97818,6.375923,59.3963,Potato
8,40,39,23.82724,94.1979,6.375923,59.81856,Potato
23,115,114,18.28072,92.45878,6.419083,53.67985,Potato
18,90,89,20.4346,90.22507,6.404907,60.68099,Potato
21,105,104,20.97081,94.65344,6.399891,61.90227,Potato
21,105,104,22.84064,94.3392,6.404907,60.95666,Potato
15,75,74,20.7127,94.2912,6.360955,53.67985,Potato
22,110,109,19.68291,90.78572,6.399891,54.08102,Potato
31,155,154,23.79372,94.57646,6.465313,54.08102,Potato
29,145,144,20.06004,92.86597,6.18677,60.68099,Potato
24,120,119,23.43975,93.74461,6.375923,59.70611,Potato
27,135,134,20.13037,90.49356,6.404907,59.3963,Potato
21,105,104,20.62896,93.12603,6.404907,55.80006,Potato
15,75,74,20.86928,92.50969,6.399891,59.30927,Potato
25,125,124,20.61205,90.84422,6.396379,52.05912,Potato
8,40,39,21.66025,90.68788,6.159021,52.05912,Potato
28,140,139,18.92157,91.47685,6.067665,54.19665,Potato
12,60,59,19.55982,91.70294,6.375923,54.10225,Potato
14,70,69,20.17885,92.17445,6.159021,59.30927,Potato
25,125,124,19.54128,92.73447,6.159021,59.81856,Potato
16,80,79,20.08966,91.91533,6.465313,59.3963,Potato
22,110,109,20.9999,92.78226,6.159021,54.10225,Potato
11,55,54,22.33376,91.79743,6.460955,61.90227,Potato
15,75,74,18.7836,92.62665,6.465313,56.4849,Potato
9,45,44,21.53578,90.80819,6.399891,59.81856,Potato
29,145,144,19.81069,94.76285,6.067665,59.30927,Potato
14,70,69,20.13708,91.46241,6.067665,62.0303,Potato
16,80,79,20.83601,92.83976,6.406053,62.27399,Potato
17,85,84,20.2507,94.73764,6.067665,60.68099,Potato
12,60,59,19.55751,90.45773,6.406053,62.27399,Potato
11,55,54,23.13164,92.5478,6.375923,56.13443,Potato
21,105,104,18.47412,90.18452,6.406053,52.37128,Potato
12,60,59,18.28766,92.15595,6.465313,61.63437,Potato
22,110,109,21.31852,94.36804,6.18677,53.55808,Potato
13,65,64,21.723,90.60932,6.404907,60.68099,Potato
12,60,59,19.59221,90.33699,6.159021,62.27399,Potato
8,40,39,20.70497,91.1485,6.067665,56.4849,Potato
13,65,64,19.6569,94.92048,6.400338,59.70611,Potato
24,120,119,20.13037,94.54128,6.460955,54.82145,Potato
8,32,16,22.75089,65.10652,6.732834,69.52082,Tomato
22,88,44,22.63946,74.41094,6.431971,74.26358,Tomato
14,56,55,23.61192,72.01836,6.419083,65.937,Tomato
27,108,107,22.35548,68.52534,6.565313,75.49863,Tomato
30,120,119,21.42177,70.39647,6.18677,70.49101,Tomato
27,108,107,22.35548,66.41327,6.660955,65.937,Tomato
8,32,31,22.31254,72.97841,6.159021,76.70769,Tomato
12,48,47,22.19109,66.63636,6.700338,75.937,Tomato
11,44,22,23.34386,67.9325,6.776988,75.937,Tomato
23,92,91,22.31254,67.56696,6.396379,72.81891,Tomato
27,108,54,22.49095,74.57578,6.355443,75.937,Tomato
11,44,22,22.48403,72.26595,6.266209,75.01,Tomato
9,36,18,22.43325,68.5065,6.400772,69.58565,Tomato
13,52,51,23.06204,65.44341,6.565313,64.40619,Tomato
31,124,62,22.71271,72.25738,6.746695,76.98569,Tomato
15,60,59,23.06204,72.88179,6.706053,72.92799,Tomato
25,100,99,23.50201,70.50149,6.396379,67.85017,Tomato
23,92,46,22.45697,71.10935,6.708744,75.937,Tomato
12,48,47,23.34467,68.84881,6.067665,74.20509,Tomato
16,64,63,21.8013,70.50149,6.504907,73.2604,Tomato
24,96,48,21.07273,68.66258,6.365957,75.937,Tomato
22,88,87,23.34467,68.52534,6.419083,65.937,Tomato
24,96,95,23.06204,73.74145,6.159021,69.63873,Tomato
21,84,83,23.80436,72.12739,6.067665,65.937,Tomato
31,124,123,22.35548,65.19622,6.159021,71.32565,Tomato
13,52,51,22.76643,66.41327,6.375923,75.937,Tomato
21,84,83,23.4626,66.4683,6.375923,74.45758,Tomato
28,112,56,22.20701,68.42334,6.78105,67.9494,Tomato
16,64,32,22.92157,65.18792,6.25142,75.71087,Tomato
28,112,111,21.8013,67.22512,6.706053,65.937,Tomato
30,120,60,22.84853,72.24226,6.121745,60.50861,Tomato
29,116,115,23.06204,70.66687,6.700338,65.937,Tomato
21,84,42,21.42177,69.71184,6.54115,75.937,Tomato
12,48,24,21.91191,71.03273,6.002927,74.02,Tomato
29,116,58,22.36629,70.50149,6.341401,71.57581,Tomato
15,60,59,23.34467,65.19622,6.700338,63.97807,Tomato
22,88,87,22.20701,72.88179,6.660955,75.64054,Tomato
17,68,67,22.76643,70.04557,6.706053,65.937,Tomato
24,96,95,23.4626,72.97841,6.700338,65.937,Tomato
13,52,26,21.11479,73.83876,6.19409,68.50734,Tomato
12,48,24,21.12152,69.94807,6.135996,66.5801,Tomato
15,60,30,23.10943,65.74973,6.13016,75.937,Tomato
21,84,42,23.76882,70.5634,6.157725,63.54933,Tomato
10,40,20,23.41045,66.02411,6.732049,73.9616,Tomato
14,56,28,22.81213,69.68849,6.274453,65.18185,Tomato
21,84,83,23.80436,66.4683,6.706053,70.5779,Tomato
21,84,42,22.44517,72.26312,6.630301,67.32668,Tomato
21,84,42,23.8494,65.83289,6.12602,57.91359,Tomato
27,108,54,23.99686,66.4683,6.150686,75.937,Tomato
25,100,50,22.96388,67.37768,6.01074,69.66311,Tomato
22,88,44,21.70417,67.16218,6.031666,75.937,Tomato
11,44,43,23.71475,70.66687,6.067665,67.94467,Tomato
18,72,71,23.99686,69.71184,6.660955,75.25065,Tomato
8,32,31,22.31254,72.97841,6.159021,63.49512,Tomato
6,24,24,23.34467,72.01836,6.18677,76.20177,Tomato
8,32,16,23.80436,68.52534,6.547042,75.937,Tomato
11,44,43,22.44517,73.74145,6.396379,67.78624,Tomato
9,36,35,22.20701,70.04557,6.419083,65.52057,Tomato
22,88,87,22.31254,72.88179,6.565313,65.937,Tomato
23,92,46,23.71475,67.56696,6.399891,75.937,Tomato
13,52,26,22.02775,73.55324,6.350624,74.02,Tomato
13,52,26,22.44075,73.57286,6.668383,76.84998,Tomato
25,100,50,22.12659,67.96911,6.685553,66.31007,Tomato
25,100,99,23.50201,72.01836,6.375923,73.06911,Tomato
9,36,35,22.44517,67.04151,6.504907,75.11134,Tomato
6,24,24,23.34467,72.01836,6.18677,83.68103,Tomato
16,64,63,23.4626,65.19622,6.504907,72.54294,Tomato
15,60,30,21.18667,65.64381,6.44281,76.01,Tomato
15,60,59,22.36629,68.84881,6.159021,65.937,Tomato
23,92,46,23.61192,68.4803,6.170521,75.937,Tomato
22,88,87,23.86087,72.12739,6.399891,75.937,Tomato
18,72,36,23.25231,71.26003,6.440585,75.937,Tomato
23,92,46,22.98459,72.67088,6.640471,75.937,Tomato
22,88,44,21.37785,74.28618,6.163921,65.23402,Tomato
9,36,18,22.86007,72.14451,6.243674,74.84925,Tomato
14,56,55,23.61192,67.22512,6.565313,70.63176,Tomato
23,92,91,22.31254,69.71184,6.419083,65.937,Tomato
16,64,32,22.60801,66.76853,6.161124,64.93293,Tomato
22,88,44,23.12653,74.47859,6.212567,61.96981,Tomato
13,52,51,23.71475,65.44341,6.375923,65.937,Tomato
25,5,5.1,29.48883,96.46241,5.381423,106.2338,Tea
110,22,21,30.92729,95.76272,5.126547,112.3731,Tea
70,14,14,29.93061,97.2912,5.331436,99.4767,Tea
50,10,10,31.82729,97.73764,5.22869,100.6327,Tea
35,7,6,31.04349,97.71147,4.96509,100.09,Tea
115,23,22,30.01849,97.55966,4.795435,97.0902,Tea
110,22,21,30.05806,96.79659,5.51338,100.21,Tea
100,20,19,30.53883,96.46036,5.384371,112.428,Tea
140,28,27,29.53883,97.20153,5.549904,24.2262,Tea
120,24,23,30.00561,97.74185,4.794165,95.453,Tea
115,23,22,32.01849,97.68903,4.894366,99.881,Tea
25,5,4,31.03061,96.58702,5.102779,126.4068,Tea
125,25,24,31.51383,97.48668,5.552744,104.8391,Tea
50,10,10,29.88431,96.34685,5.631466,87.7231,Tea
105,21,20,31.87729,97.60565,5.019011,100.1966,Tea
75,15,15,31.48883,97.47812,5.430118,79.1631,Tea
110,22,21,29.99349,97.69103,5.355236,100.21,Tea
25,5,4,28.08306,97.29945,5.647934,100.21,Tea
50,10,9,29.08306,97.10339,5.316665,100.21,Tea
65,13,12,31.01849,97.87513,4.804844,86.5698,Tea
55,11,10,29.90931,96.47685,5.658292,97.2233,Tea
135,27,26,31.10806,96.45836,5.158292,97.1033,Tea
35,7,6,29.93431,95.95718,5.376066,100.21,Tea
85,17,17,30.88431,96.70293,5.588033,86.2161,Tea
65,13,13,30.82729,97.71203,5.26441,103.639,Tea
105,21,20,31.93061,97.12439,5.544618,104.3488,Tea
100,20,20,31.47156,97.50574,5.403143,86.6415,Tea
60,12,11,30.93431,95.00475,5.717608,100.21,Tea
115,23,22,29.05806,95.45262,5.510208,100.21,Tea
60,12,11,30.95931,97.52835,4.768178,100.88,Tea
75,15,14,29.96849,95.49356,5.634164,101.2916,Tea
120,24,23,30.04349,97.10139,5.118323,100.09,Tea
100,20,19,31.85229,97.89613,5.626547,112.4931,Tea
125,25,24,31.95931,95.95518,4.960755,109.8511,Tea
80,16,15,30.90229,97.46568,4.72869,100.5127,Tea
140,28,27,29.57156,97.45512,4.855561,100.11,Tea
70,14,13,30.49656,97.76285,5.355561,100.23,Tea
70,14,13,30.87729,97.45712,5.211905,111.3981,Tea
100,20,19,29.58883,96.67993,4.718101,109.8011,Tea
40,8,7,29.85229,97.73447,5.369548,102.2582,Tea
5,1,1,30.93061,97.32045,5.294165,95.573,Tea
60,12,11,28.10806,97.54486,4.695295,96.35,Tea
50,10,9,29.56383,95.5771,5.137177,96.5387,Tea
75,15,14,30.52156,96.68193,5.281032,117.4358,Tea
120,24,23,30.96849,97.70785,5.618323,100.21,Tea
110,22,21,30.95561,97.56586,5.277704,108.6373,Tea
135,27,26,31.49656,97.84416,5.392199,105.2595,Tea
130,26,25,30.58883,97.89748,5.052744,104.7191,Tea
100,20,19,31.05806,97.53035,5.348699,94.1755,Tea
55,11,11,30.47156,95.97598,5.20688,106.1366,Tea
120,24,23,32.00561,95.95298,4.869548,102.1382,Tea
130,26,25,30.10806,97.29745,5.134164,101.1716,Tea
105,21,20,31.54656,96.32385,5.075615,101.89,Tea
40,8,7,29.87729,95.29429,5.277561,100.2258,Tea
150,30,29,29.95931,97.68685,5.088033,86.0961,Tea
110,22,21,29.90229,95.16352,4.76441,103.519,Tea
45,9,8,30.98061,97.48474,5.505404,100.21,Tea
55,11,10,29.92729,97.48274,4.841727,100.09,Tea
140,28,27,29.98431,96.67994,5.05043,102.1116,Tea
105,21,20,29.49656,96.61002,5.620136,104.6217,Tea
65,13,12,31.52156,97.89948,4.881423,106.1138,Tea
130,26,25,29.52156,96.32585,5.31069,105.7733,Tea
105,21,20,29.54656,96.45585,4.70688,106.0166,Tea
55,11,10,29.10806,97.2682,4.79262,99.88,Tea
25,5,5,29.82729,96.81759,5.254457,102.2847,Tea
100,20,19,31.08306,95.47256,5.131466,87.6031,Tea
40,8,8,28.03306,97.22253,5.345255,109.5718,Tea
70,14,14,29.03306,96.48136,5.195295,96.47,Tea
130,26,25,30.90931,97.44006,5.55043,102.2316,Tea
85,17,16,30.08306,97.71347,5.007194,104.3433,Tea
60,12,11,30.51383,95.18452,5.218101,109.9211,Tea
70,14,13,31.99349,96.58902,4.831436,99.3567,Tea
75,15,14,31.00561,97.82316,5.044618,104.2288,Tea
80,16,15,29.95561,97.54128,5.394366,100.001,Tea
55,11,10,31.96849,97.76126,5.46509,100.21,Tea
70,14,13,31.56383,97.19953,4.751035,101.08,Tea
100,20,19,28.13306,95.00275,5.010208,100.09,Tea
10,2,2,29.47156,97.78226,5.519011,100.3166,Tea
40,8,7,30.54656,97.41906,4.903143,86.5215,Tea
60,12,11,31.03306,97.62665,5.251035,101.2,Tea
2,40,27,29.7377,47.54885,5.954627,90.09587,mango
1,35,34,30.79376,46.69537,6.273398,92.21319,mango
0,17,30,35.47478,47.97231,6.279134,97.79072,mango
18,26,31,32.61126,47.74916,5.418475,91.10191,mango
9,21,32,32.26935,53.56093,5.870116,95.94035,mango
38,15,30,28.91862,48.13975,5.075505,97.01332,mango
21,26,27,27.00316,47.67525,5.699587,95.85118,mango
39,16,27,35.53845,52.94642,4.934965,91.5456,mango
7,17,26,34.89227,48.75613,6.414527,91.63075,mango
7,28,35,30.02086,46.78394,4.669108,96.63721,mango
27,21,30,35.39155,52.48823,5.061082,91.22881,mango
22,17,26,28.69818,47.71876,4.754435,99.64245,mango
7,31,27,31.32864,47.5932,6.524114,94.67345,mango
14,29,32,35.63627,48.97048,6.94252,97.51952,mango
37,30,34,27.53908,53.6355,6.797779,99.35408,mango
31,29,26,28.22373,47.40519,5.024125,97.76832,mango
19,38,26,31.48452,48.77926,4.525722,93.17222,mango
31,36,29,33.9368,52.7217,6.460543,97.46119,mango
8,33,29,29.9808,49.48613,6.442393,91.82272,mango
14,18,30,29.80747,52.13798,5.191265,95.74606,mango
19,21,34,30.01593,53.19212,5.074273,97.72843,mango
12,27,26,29.09382,45.56611,5.323072,96.2352,mango
34,34,35,27.27433,47.16808,6.422711,95.25799,mango
39,37,25,33.33025,45.61144,6.953247,98.28583,mango
1,30,29,28.33333,51.39587,6.434198,91.67242,mango
22,28,26,27.67256,45.41692,4.947683,92.84992,mango
30,17,31,31.20478,54.49961,6.804437,94.62955,mango
37,38,32,31.85745,45.53106,5.417341,91.55846,mango
40,16,35,34.16439,54.16482,4.95474,98.33351,mango
29,35,28,28.34716,53.53903,6.967418,90.4026,mango
18,20,26,31.66525,51.98595,5.435841,89.98024,mango
29,34,26,33.88005,54.39416,6.273954,89.29148,mango
11,34,32,29.14305,49.40983,6.831707,97.55156,mango
9,38,25,34.58561,50.34035,5.497947,100.3061,mango
18,19,27,27.75519,52.34606,4.772386,94.11213,mango
8,37,33,28.07803,54.96405,6.128168,97.45374,mango
20,19,35,34.1772,50.62162,6.113935,98.00688,mango
15,27,28,33.80399,46.12866,4.507524,90.82549,mango
37,36,26,32.893,52.61324,4.650536,94.49161,mango
23,24,32,28.12181,46.16889,5.63062,93.30247,mango
34,38,31,35.37776,45.5811,6.454045,97.41586,mango
26,35,31,33.4462,53.0598,5.339557,98.05089,mango
39,24,31,33.55696,53.7298,4.757115,98.67528,mango
12,19,31,27.25373,52.6632,5.566704,91.87312,mango
2,36,31,30.90225,49.95955,5.731719,91.77523,mango
23,23,30,32.82141,47.45554,4.755274,90.89173,mango
23,23,27,34.72413,51.42718,5.161149,97.31258,mango
8,38,32,29.75151,46.73723,4.981817,91.40598,mango
25,22,25,33.5615,45.53557,5.977414,95.70526,mango
11,36,31,27.92063,51.77966,6.475449,100.2586,mango
24,33,35,29.26383,54.82258,5.342866,100.7586,mango
14,18,35,31.09154,47.02058,4.791147,91.46664,mango
2,24,34,28.89409,54.8075,6.472775,94.76323,mango
1,29,29,27.32961,49.30347,6.052026,93.53197,mango
12,34,28,33.3614,45.02236,6.135269,98.81597,mango
36,26,26,30.17294,51.08459,6.81463,95.23444,mango
3,18,31,31.65333,48.20663,6.392314,91.09746,mango
0,36,26,34.13072,51.25786,5.101206,96.38808,mango
33,29,34,31.40949,49.21729,6.83298,92.99739,mango
21,21,30,27.69819,51.41593,5.403908,100.7721,mango
30,28,30,31.86641,52.19332,5.064613,98.46769,mango
